Notes	ManualCheck	MergeInto	RenameEntitySet	KeyParamGroup	EntitySet	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	EntitySetCount	FlipAngle	HasFieldmap	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelAcquisitionTechnique	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	SliceEncodingDirection	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim3_datatype-anat_suffix-T1w__2	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim3_datatype-anat_suffix-T1w	2	1	156	256	256	0.002756		3	8.0	False	anat		0	1.0	True					0.00636			False	1.0000841617584229	0.9375020265579224	0.9374979734420776
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	1	1	156	256	256	0.002764		3	8.0	False	anat		0	1.0	True					0.006388			False	1.0000967979431152	0.9375140070915222	0.9375090003013611
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__2	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	2	1	156	256	256	0.002768		3	8.0	False	anat		0	1.0	True					0.006376			False	1.0	0.9375	0.9375050067901611
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__3	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	3	1	156	256	256	0.00276		3	8.0	False	anat		0	1.0	True					0.006364			False	1.000022292137146	0.9375	0.9375029802322388
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2_datatype-anat_suffix-T1w	1	3	156	256	256	0.002756		3	8.0	False	anat		0	1.0	True					0.006352			False	1.0000377893447876	0.9374949932098389	0.9375119805335999
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTime_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTime_datatype-anat_suffix-T1w	1	3	156	256	256	0.002748		3	8.0	False	anat		0	1.0	False					0.006332			False	1.0	0.9375	0.9375
				acquisition-20120221MPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__1	acquisition-20120221MPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	1	1	181	240	240	0.003696		3	8.0	False	anat		0	1.0	True					0.008075			False	1.0	1.0	1.0
				acquisition-20120221MPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__2	acquisition-20120221MPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	2	1	181	240	240	0.003711		3	8.0	False	anat		0	1.0	True					0.0081173			False	1.0	1.0	1.0
				acquisition-20120221MPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w__3	acquisition-20120221MPRAGEVARIANTEchoTimeRepetitionTimeObliquity_datatype-anat_suffix-T1w	3	1	181	240	240	0.003695		3	8.0	False	anat		0	1.0	True					0.0080654			False	1.0	1.0	1.0
				acquisition-20160621t1mprnssagpat2iso_datatype-anat_suffix-T1w__1	acquisition-20160621t1mprnssagpat2iso_datatype-anat_suffix-T1w	1	3	176	256	256	0.00298		3	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w	1	1	156	256	256	0.002768		2	8.0	False	anat		0	1.0	True					0.006396			False	0.9996933937072754	0.9374939799308777	0.9374970197677612
				acquisition-200902113DMPRAGEVARIANTRepetitionTimeObliquity_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEVARIANTRepetitionTimeObliquity_datatype-anat_suffix-T1w	1	2	156	256	256	0.002752		2	8.0	False	anat		0	1.0	True					0.006344			False	1.0000762939453125	0.9375110268592834	0.937512993812561
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w	1	1	156	256	256	0.002768		2	8.0	False	anat		0	1.0	True					0.006392			False	1.000375509262085	0.9374960064888	0.9374920129776001
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w__2	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w	2	1	156	256	256	0.002768		2	8.0	False	anat		0	1.0	True					0.006396			False	0.9996933937072754	0.9374939799308777	0.9374970197677612
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim3_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim3_datatype-anat_suffix-T1w	1	2	156	256	256	0.002756		2	8.0	False	anat		0	1.0	True					0.00636			False	1.0000841617584229	0.9375020265579224	0.9374979734420776
				acquisition-20160125MPRAGEVARIANTEchoTimeFlipAngleDim1SizeDim3Size_datatype-anat_suffix-T1w__1	acquisition-20160125MPRAGEVARIANTEchoTimeFlipAngleDim1SizeDim3Size_datatype-anat_suffix-T1w	1	1	240	240	181	0.00368		2		False	anat		0	1.0	False					0.008046			False	1.0	1.0	1.0
				acquisition-20160627t1mprnssagpat2isoND_datatype-anat_suffix-T1w__1	acquisition-20160627t1mprnssagpat2isoND_datatype-anat_suffix-T1w	1	2	176	256	256	0.00298		2	9.0	False	anat		0	1.0	True		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim1VoxelSizeDim2_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim1VoxelSizeDim2_datatype-anat_suffix-T1w	1	1	156	256	256	0.002756		1	8.0	False	anat		0	1.0	True					0.006372			False	0.9992919564247131	0.9374909996986389	0.9375029802322388
				acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim2_datatype-anat_suffix-T1w	1	1	156	256	256	0.002756		1	8.0	False	anat		0	1.0	True					0.006352			False	1.0000377893447876	0.9374949932098389	0.9375119805335999
				acquisition-200902113DMPRAGEVARIANTRepetitionTimeObliquityVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEVARIANTRepetitionTimeObliquityVoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T1w	1	1	156	256	256	0.002752		1	8.0	False	anat		0	1.0	True					0.006368			False	1.000375509262085	0.9374960064888	0.9374920129776001
				acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim1VoxelSizeDim2_datatype-anat_suffix-T1w__1	acquisition-200902113DMPRAGEaVARIANTEchoTimeRepetitionTimeObliquityVoxelSizeDim1VoxelSizeDim2_datatype-anat_suffix-T1w	1	1	156	256	256	0.00276		1	8.0	False	anat		0	1.0	True					0.00638			False	0.9992919564247131	0.9374909996986389	0.9375029802322388
				acquisition-20150715t1mprnssagpat2isoVARIANTObliquity_datatype-anat_suffix-T1w__1	acquisition-20150715t1mprnssagpat2isoVARIANTObliquity_datatype-anat_suffix-T1w	1	1	176	256	256	0.00298		1	9.0	False	anat		0	1.0	False		2.0	1.0		2.3			False	1.0	1.0	1.0
				acquisition-BNK20090211irspgr_datatype-anat_suffix-T1w__1	acquisition-BNK20090211irspgr_datatype-anat_suffix-T1w	1	1	156	256	256	0.0028		1	8.0	False	anat		0	1.0	False					0.0063			False	1.0	0.9375	0.9375
				acquisition-ProtUnkMPRAGE_datatype-anat_suffix-T1w__1	acquisition-ProtUnkMPRAGE_datatype-anat_suffix-T1w	1	1	181	240	240	0.00369		1		False	anat		0	1.0	False					0.00805			False	1.0	1.0	1.0
				acquisition-UC20160125ucmprage_datatype-anat_suffix-T1w__1	acquisition-UC20160125ucmprage_datatype-anat_suffix-T1w	1	1	181	240	240	0.0037		1	8.0	False	anat		0	1.0	False	SENSE				0.0081	j		False	1.0	1.0	1.0
				acquisition-MG20160627_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1	acquisition-MG20160627_datatype-fmap_fmap-magnitude1_suffix-magnitude1	1	414	128	128	65	0.00492		692	70.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTMultibandAccelerationFactor_datatype-fmap_fmap-magnitude1_suffix-magnitude1	acquisition-MG20160627_datatype-fmap_fmap-magnitude1_suffix-magnitude1__2	acquisition-MG20160627_datatype-fmap_fmap-magnitude1_suffix-magnitude1	2	70	128	128	65	0.00492		692	70.0	False	fmap	2.0	65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTObliquity_datatype-fmap_fmap-magnitude1_suffix-magnitude1	acquisition-MG20160627_datatype-fmap_fmap-magnitude1_suffix-magnitude1__3	acquisition-MG20160627_datatype-fmap_fmap-magnitude1_suffix-magnitude1	3	24	128	128	65	0.00492		692	70.0	False	fmap		65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTMultibandAccelerationFactorObliquity_datatype-fmap_fmap-magnitude1_suffix-magnitude1	acquisition-MG20160627_datatype-fmap_fmap-magnitude1_suffix-magnitude1__4	acquisition-MG20160627_datatype-fmap_fmap-magnitude1_suffix-magnitude1	4	6	128	128	65	0.00492		692	70.0	False	fmap	2.0	65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
				acquisition-MG20160627_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1	acquisition-MG20160627_datatype-fmap_fmap-magnitude2_suffix-magnitude2	1	389	128	128	65	0.00738		692	70.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTMultibandAccelerationFactor_datatype-fmap_fmap-magnitude2_suffix-magnitude2	acquisition-MG20160627_datatype-fmap_fmap-magnitude2_suffix-magnitude2__2	acquisition-MG20160627_datatype-fmap_fmap-magnitude2_suffix-magnitude2	2	77	128	128	65	0.00738		692	70.0	False	fmap	2.0	65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTObliquity_datatype-fmap_fmap-magnitude2_suffix-magnitude2	acquisition-MG20160627_datatype-fmap_fmap-magnitude2_suffix-magnitude2__3	acquisition-MG20160627_datatype-fmap_fmap-magnitude2_suffix-magnitude2	3	25	128	128	65	0.00738		692	70.0	False	fmap		65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTMultibandAccelerationFactorObliquity_datatype-fmap_fmap-magnitude2_suffix-magnitude2	acquisition-MG20160627_datatype-fmap_fmap-magnitude2_suffix-magnitude2__4	acquisition-MG20160627_datatype-fmap_fmap-magnitude2_suffix-magnitude2	4	4	128	128	65	0.00738		692	70.0	False	fmap	2.0	65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
				acquisition-MG20160627_datatype-fmap_fmap-phasediff_suffix-phasediff__1	acquisition-MG20160627_datatype-fmap_fmap-phasediff_suffix-phasediff	1	378	128	128	65			692	70.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTMultibandAccelerationFactor_datatype-fmap_fmap-phasediff_suffix-phasediff	acquisition-MG20160627_datatype-fmap_fmap-phasediff_suffix-phasediff__2	acquisition-MG20160627_datatype-fmap_fmap-phasediff_suffix-phasediff	2	76	128	128	65			692	70.0	False	fmap	2.0	65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTObliquity_datatype-fmap_fmap-phasediff_suffix-phasediff	acquisition-MG20160627_datatype-fmap_fmap-phasediff_suffix-phasediff__3	acquisition-MG20160627_datatype-fmap_fmap-phasediff_suffix-phasediff	3	25	128	128	65			692	70.0	False	fmap		65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20160627VARIANTMultibandAccelerationFactorObliquity_datatype-fmap_fmap-phasediff_suffix-phasediff	acquisition-MG20160627_datatype-fmap_fmap-phasediff_suffix-phasediff__4	acquisition-MG20160627_datatype-fmap_fmap-phasediff_suffix-phasediff	4	4	128	128	65			692	70.0	False	fmap	2.0	65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
				acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1	1	412	128	128	65	0.00492		555	70.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTMultibandAccelerationFactor_datatype-fmap_fmap-magnitude1_suffix-magnitude1	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1__2	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1	2	76	128	128	65	0.00492		555	70.0	False	fmap	2.0	65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTObliquity_datatype-fmap_fmap-magnitude1_suffix-magnitude1	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1__3	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1	3	5	128	128	65	0.00492		555	70.0	False	fmap		65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTMultibandAccelerationFactorObliquity_datatype-fmap_fmap-magnitude1_suffix-magnitude1	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1__4	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1	4	2	128	128	65	0.00492		555	70.0	False	fmap	2.0	65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTFlipAngle_datatype-fmap_fmap-magnitude1_suffix-magnitude1	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1__5	acquisition-MG20120501_datatype-fmap_fmap-magnitude1_suffix-magnitude1	5	1	128	128	65	0.00492		555	65.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
				acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2	1	397	128	128	65	0.00738		555	70.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTMultibandAccelerationFactor_datatype-fmap_fmap-magnitude2_suffix-magnitude2	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2__2	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2	2	78	128	128	65	0.00738		555	70.0	False	fmap	2.0	65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTObliquity_datatype-fmap_fmap-magnitude2_suffix-magnitude2	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2__3	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2	3	6	128	128	65	0.00738		555	70.0	False	fmap		65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTFlipAngle_datatype-fmap_fmap-magnitude2_suffix-magnitude2	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2__4	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2	4	1	128	128	65	0.00738		555	65.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTMultibandAccelerationFactorObliquity_datatype-fmap_fmap-magnitude2_suffix-magnitude2	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2__5	acquisition-MG20120501_datatype-fmap_fmap-magnitude2_suffix-magnitude2	5	1	128	128	65	0.00738		555	70.0	False	fmap	2.0	65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
				acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff__1	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff	1	385	128	128	65			555	70.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTMultibandAccelerationFactor_datatype-fmap_fmap-phasediff_suffix-phasediff	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff__2	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff	2	76	128	128	65			555	70.0	False	fmap	2.0	65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTObliquity_datatype-fmap_fmap-phasediff_suffix-phasediff	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff__3	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff	3	6	128	128	65			555	70.0	False	fmap		65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTFlipAngle_datatype-fmap_fmap-phasediff_suffix-phasediff	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff__4	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff	4	1	128	128	65			555	65.0	False	fmap		65	1.0	True			1.0	j-	0.681			True	2.0	2.0	2.0
			acquisition-MG20120501VARIANTMultibandAccelerationFactorObliquity_datatype-fmap_fmap-phasediff_suffix-phasediff	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff__5	acquisition-MG20120501_datatype-fmap_fmap-phasediff_suffix-phasediff	5	1	128	128	65			555	70.0	False	fmap	2.0	65	1.0	False			1.0	j-	0.681			True	2.0	2.0	2.0
				acquisition-MG20120501t2fl3dtraNoSWIph_datatype-fmap_fmap-phase1_suffix-phase1__1	acquisition-MG20120501t2fl3dtraNoSWIph_datatype-fmap_fmap-phase1_suffix-phase1	1	444	384	512	160	0.02		555	15.0	False	fmap		0	1.0	True		2.0	1.0		0.026			True	0.5	0.5	1.0
			acquisition-MG20120501t2fl3dtraNoSWIphVARIANTObliquity_datatype-fmap_fmap-phase1_suffix-phase1	acquisition-MG20120501t2fl3dtraNoSWIph_datatype-fmap_fmap-phase1_suffix-phase1__2	acquisition-MG20120501t2fl3dtraNoSWIph_datatype-fmap_fmap-phase1_suffix-phase1	2	6	384	512	160	0.02		555	15.0	False	fmap		0	1.0	False		2.0	1.0		0.026			True	0.5	0.5	1.0
